Dim1,Dim2,Label
-9.361227,23.563776,selected_100_seq
-9.050417,23.738531,selected_100_seq
-9.409453,24.03903,selected_100_seq
-8.821152,23.645258,selected_100_seq
-4.1577706,21.507359,selected_100_seq
-4.081395,21.491646,selected_100_seq
-7.743038,23.634377,selected_100_seq
-5.076735,21.780884,selected_100_seq
9.476375,10.392161,selected_100_seq
-3.971362,23.846136,selected_100_seq
8.240892,11.028388,selected_100_seq
-4.656114,20.662445,selected_100_seq
-6.6819105,22.626987,selected_100_seq
-0.21992566,9.738845,selected_100_seq
9.074209,4.467189,selected_100_seq
-8.340926,9.442396,selected_100_seq
7.565963,0.44093955,selected_100_seq
11.251021,6.4073977,selected_100_seq
0.3710668,8.009082,selected_100_seq
0.14217405,7.8963356,selected_100_seq
5.294852,14.020788,selected_100_seq
1.5597368,14.399184,selected_100_seq
-5.5812345,16.535547,selected_100_seq
12.903738,2.4153361,selected_100_seq
-2.5785491,17.134384,selected_100_seq
0.8039764,11.286699,selected_100_seq
1.1247241,11.078811,selected_100_seq
5.846296,4.7458477,selected_100_seq
5.1002464,4.039661,selected_100_seq
9.621186,9.545442,selected_100_seq
2.4545417,9.655783,selected_100_seq
-0.71319795,10.995011,selected_100_seq
5.04822,4.0187535,selected_100_seq
0.6279436,10.441773,selected_100_seq
1.9653664,12.408519,selected_100_seq
-4.183918,11.208911,selected_100_seq
-5.7611566,8.83724,selected_100_seq
-0.11291966,9.792837,selected_100_seq
-3.1445467,9.563584,selected_100_seq
-8.852893,10.290012,selected_100_seq
-3.9354146,9.253724,selected_100_seq
4.9486036,13.624823,selected_100_seq
0.23995969,10.952566,selected_100_seq
2.5491197,13.019917,selected_100_seq
-0.19213444,11.856985,selected_100_seq
-6.028401,8.664821,selected_100_seq
1.0056871,12.186186,selected_100_seq
-5.901352,9.30046,selected_100_seq
3.6247892,10.941096,selected_100_seq
3.448685,10.89689,selected_100_seq
-0.44672585,12.885646,selected_100_seq
-6.901314,13.058042,selected_100_seq
-6.877329,13.080636,selected_100_seq
4.450939,11.743839,selected_100_seq
2.8686666,15.885463,selected_100_seq
-2.047233,12.480996,selected_100_seq
2.4811482,16.456713,selected_100_seq
-6.4327693,19.388716,selected_100_seq
-15.155043,7.8796325,selected_100_seq
-1.8320861,13.056011,selected_100_seq
-0.9949675,17.486202,selected_100_seq
3.4876518,-23.829834,selected_100_seq
9.213343,-16.999662,selected_100_seq
11.814339,-19.887438,selected_100_seq
13.243084,-19.871326,selected_100_seq
12.872814,-20.024805,selected_100_seq
11.92175,-21.030252,selected_100_seq
13.121779,-21.044704,selected_100_seq
13.881726,-19.329367,selected_100_seq
12.91028,-20.164944,selected_100_seq
14.929165,-17.016058,selected_100_seq
-1.3120747,14.466028,selected_100_seq
-2.2483158,14.952619,selected_100_seq
-12.2870455,9.496627,selected_100_seq
4.2926564,17.51906,selected_100_seq
4.6513376,18.591942,selected_100_seq
6.06619,18.163706,selected_100_seq
7.692304,3.2269137,selected_100_seq
8.857266,-3.3851533,selected_100_seq
-1.8478681,18.354784,selected_100_seq
13.650014,4.1965046,selected_100_seq
0.0093283495,14.908389,selected_100_seq
2.6316872,14.504352,selected_100_seq
-10.87235,9.138678,selected_100_seq
5.4792356,17.829876,selected_100_seq
5.222814,19.205582,selected_100_seq
1.0640188,13.9641905,selected_100_seq
7.5984445,14.134603,selected_100_seq
8.713088,16.2624,selected_100_seq
-0.76675576,14.102403,selected_100_seq
3.081605,12.16305,selected_100_seq
7.02209,5.10967,selected_100_seq
-2.801834,10.545741,selected_100_seq
-7.4501762,10.778508,selected_100_seq
-4.338285,17.08755,selected_100_seq
2.4165266,17.819996,selected_100_seq
-11.419925,10.775074,selected_100_seq
2.3938856,15.854491,selected_100_seq
1.5708035,16.075401,selected_100_seq
3.8028748,17.410429,selected_100_seq
9.319662,13.133806,selected_100_seq
3.097111,18.673563,selected_100_seq
0.017071215,18.575562,selected_100_seq
3.2054987,18.689283,selected_100_seq
4.122938,16.554104,selected_100_seq
7.1466465,16.468418,selected_100_seq
-10.982631,10.881588,selected_100_seq
0.43417194,15.335058,selected_100_seq
-8.624497,12.435815,selected_100_seq
1.8779513,6.4170628,selected_100_seq
0.06154093,16.470213,selected_100_seq
8.653967,16.798489,selected_100_seq
5.671656,15.802119,selected_100_seq
11.787283,-15.841007,selected_100_seq
-16.281702,8.196694,selected_100_seq
-16.3087,8.206952,selected_100_seq
-16.223454,8.151667,selected_100_seq
-16.93431,8.999068,selected_100_seq
-17.91593,9.330485,selected_100_seq
-17.014341,9.051987,selected_100_seq
-17.00942,9.027472,selected_100_seq
3.2679973,13.754027,selected_100_seq
5.979573,16.63686,selected_100_seq
2.6594124,10.965873,selected_100_seq
8.214334,4.1144233,selected_100_seq
-1.674092,16.116077,selected_100_seq
15.871863,-7.3522363,selected_100_seq
7.860699,14.303443,selected_100_seq
2.3160145,5.2734284,selected_100_seq
4.980468,16.754995,selected_100_seq
6.245277,11.558058,selected_100_seq
-13.6118,8.809567,selected_100_seq
1.3721824,8.750271,selected_100_seq
-12.217748,11.162431,selected_100_seq
-1.8265572,4.316108,selected_100_seq
-1.9171885,3.9366078,selected_100_seq
-1.9094491,4.0704994,selected_100_seq
0.23621683,12.062346,selected_100_seq
10.89592,5.54791,selected_100_seq
-13.33538,18.163317,selected_100_seq
-11.195346,12.148856,selected_100_seq
-12.831062,23.589853,IPR032724
-7.9128623,4.866267,IPR032724
0.36637223,5.925792,IPR032724
11.345692,0.38997567,IPR032724
1.1435975,-11.877612,IPR032724
2.2324429,-12.1414385,IPR032724
-12.881778,15.240346,IPR032724
-14.417242,25.354053,IPR032724
-2.9787636,-14.362204,IPR032724
9.671161,-7.146873,IPR032724
3.4970708,-7.39919,IPR032724
-10.2166,-11.313958,IPR032724
0.037004597,-14.679558,IPR032724
1.8557572,-4.918747,IPR032724
-3.0320916,-0.6202397,IPR032724
17.052052,-14.309512,IPR032724
-10.238047,-9.102561,IPR032724
-9.213526,18.15664,IPR032724
-13.52532,11.289449,IPR032724
-11.688506,-1.7998655,IPR032724
-6.504657,-6.118074,IPR032724
-1.7039331,-4.426729,IPR032724
8.3686695,-11.1871605,IPR032724
-3.8183591,-5.5666914,IPR032724
-6.4846187,-6.1356554,IPR032724
-5.5528135,-4.0423117,IPR032724
-14.763985,14.03863,IPR032724
3.3059254,6.739194,IPR032724
4.639907,8.809154,IPR032724
-13.556756,10.448744,IPR032724
1.0287056,12.949611,IPR032724
9.569365,-11.045094,IPR032724
-16.706266,16.238903,IPR032724
-1.4913542,-16.674883,IPR032724
9.963482,12.689056,IPR032724
4.5597887,-17.351194,IPR032724
4.5313096,-16.923714,IPR032724
6.764383,-20.557537,IPR032724
0.3283281,-6.0196486,IPR032724
-13.416003,19.873617,IPR032724
-9.112426,8.092846,IPR032724
-6.084997,5.3386936,IPR032724
-6.624814,-8.099735,IPR032724
2.3143005,-3.9591188,IPR032724
10.196905,-18.27477,IPR032724
-3.5387113,5.9030213,IPR032724
-5.711911,7.6303144,IPR032724
7.236668,-7.2077956,IPR032724
-8.394307,0.12354714,IPR032724
1.6702605,11.707368,IPR032724
8.869737,-1.9151319,IPR032724
-4.687424,-6.999924,IPR032724
6.6232123,-1.935217,IPR032724
6.5993543,-13.5061035,IPR032724
4.5093575,-7.0295124,IPR032724
