Dim1,Dim2,Label
4.7003036,-0.84164,selected_100_seq
4.909233,-1.0742009,selected_100_seq
4.781337,-1.046777,selected_100_seq
4.9155235,-0.9675311,selected_100_seq
5.666555,0.28862518,selected_100_seq
5.6817923,0.38875782,selected_100_seq
5.1060667,-0.65668887,selected_100_seq
5.734233,0.08105871,selected_100_seq
9.339885,0.7936564,selected_100_seq
6.001382,-0.17374974,selected_100_seq
9.145057,1.0947452,selected_100_seq
5.798733,0.79687554,selected_100_seq
5.4022446,-0.27561927,selected_100_seq
7.662309,1.6956134,selected_100_seq
10.715471,1.6873698,selected_100_seq
6.186663,3.0235171,selected_100_seq
9.990699,3.361747,selected_100_seq
10.039808,1.079889,selected_100_seq
8.024159,1.840345,selected_100_seq
7.5867968,2.2841256,selected_100_seq
8.131934,0.25571826,selected_100_seq
7.27851,0.6934709,selected_100_seq
6.1675563,1.341049,selected_100_seq
10.311257,1.7810352,selected_100_seq
7.019737,1.0612365,selected_100_seq
7.80948,1.3954597,selected_100_seq
7.968606,1.2320411,selected_100_seq
9.194514,1.8982773,selected_100_seq
9.615649,1.9443768,selected_100_seq
9.363137,0.88484514,selected_100_seq
8.567958,1.2920662,selected_100_seq
7.488593,1.3176599,selected_100_seq
9.467469,1.8366987,selected_100_seq
8.112443,1.5937557,selected_100_seq
7.658157,0.9527271,selected_100_seq
6.4980683,1.8096675,selected_100_seq
6.7277455,2.7114682,selected_100_seq
8.022532,1.6191708,selected_100_seq
7.3786244,2.0213323,selected_100_seq
6.0913363,2.710774,selected_100_seq
6.9774437,2.2500932,selected_100_seq
8.279689,0.5601003,selected_100_seq
7.397104,1.7218813,selected_100_seq
7.787556,0.5235411,selected_100_seq
7.55477,1.4201164,selected_100_seq
6.6299815,2.8980231,selected_100_seq
7.773029,1.156219,selected_100_seq
6.7332907,2.454995,selected_100_seq
8.475435,0.9013029,selected_100_seq
8.041296,0.939816,selected_100_seq
7.100494,1.3556256,selected_100_seq
6.0803556,1.5501732,selected_100_seq
5.8055916,1.5432652,selected_100_seq
8.520831,0.9654647,selected_100_seq
7.5685153,-0.11366622,selected_100_seq
7.0308285,1.7568333,selected_100_seq
7.3614187,0.010732319,selected_100_seq
6.0626726,0.38663685,selected_100_seq
5.515084,1.5150965,selected_100_seq
7.350082,1.271838,selected_100_seq
6.632667,0.6898328,selected_100_seq
12.245647,6.2897534,selected_100_seq
11.952726,4.8708453,selected_100_seq
12.793592,5.6850896,selected_100_seq
13.180494,5.050818,selected_100_seq
13.072012,5.0770006,selected_100_seq
12.943479,4.9998507,selected_100_seq
13.155701,5.1632867,selected_100_seq
13.170618,4.6848407,selected_100_seq
13.086158,5.1990147,selected_100_seq
13.0642805,4.100085,selected_100_seq
7.072734,0.89417434,selected_100_seq
6.603183,1.0435436,selected_100_seq
5.4797254,3.133792,selected_100_seq
7.760352,-0.38735685,selected_100_seq
7.821683,-0.15953876,selected_100_seq
7.8691635,0.23391768,selected_100_seq
10.672874,2.733431,selected_100_seq
10.736203,3.1178176,selected_100_seq
7.5792994,0.8537501,selected_100_seq
11.185399,2.0907774,selected_100_seq
7.7314625,0.8269855,selected_100_seq
7.7071743,0.3535337,selected_100_seq
5.807554,3.166377,selected_100_seq
8.0050335,-0.104088455,selected_100_seq
7.899279,-0.281127,selected_100_seq
7.1228056,0.7951176,selected_100_seq
8.107848,0.2955188,selected_100_seq
8.601726,0.17878841,selected_100_seq
7.3365583,1.1082478,selected_100_seq
8.084541,0.9028282,selected_100_seq
9.54755,1.7912116,selected_100_seq
