Dim1,Dim2,Label
-28.187546,15.72224,selected_100_seq
-28.203054,15.71917,selected_100_seq
-28.206715,15.351466,selected_100_seq
-28.25795,15.268323,selected_100_seq
-21.204597,7.4517145,selected_100_seq
-21.348387,7.263039,selected_100_seq
-28.97947,15.966302,selected_100_seq
-19.88504,7.7723365,selected_100_seq
-18.661276,12.748458,selected_100_seq
-16.694378,12.51391,selected_100_seq
-16.685284,12.521081,selected_100_seq
-19.763815,7.7042994,selected_100_seq
-21.942196,12.606421,selected_100_seq
-9.17541,8.776883,selected_100_seq
-2.8749585,13.084783,selected_100_seq
-15.076015,3.9008412,selected_100_seq
-2.558815,7.2285833,selected_100_seq
-2.4509912,13.746011,selected_100_seq
-5.110941,10.8645,selected_100_seq
-4.5877366,11.414626,selected_100_seq
-13.151256,3.1916742,selected_100_seq
-9.464567,9.040238,selected_100_seq
-10.558044,3.7491875,selected_100_seq
-3.527143,11.183384,selected_100_seq
-7.866385,9.869738,selected_100_seq
-12.66662,6.0390725,selected_100_seq
-11.89343,3.7201438,selected_100_seq
-10.607061,7.4419737,selected_100_seq
-9.53613,7.542843,selected_100_seq
-3.5604496,12.159573,selected_100_seq
-10.386041,6.3554544,selected_100_seq
-12.619972,3.2646863,selected_100_seq
-11.593348,3.9242907,selected_100_seq
-11.497686,7.1942577,selected_100_seq
-4.874512,12.1297035,selected_100_seq
-11.957147,6.4128966,selected_100_seq
-12.747301,2.6843436,selected_100_seq
-10.076467,7.537608,selected_100_seq
-10.087023,7.4842577,selected_100_seq
-13.46583,6.064276,selected_100_seq
-9.264973,7.324715,selected_100_seq
-5.56556,9.43964,selected_100_seq
-13.648747,6.158828,selected_100_seq
-8.052841,10.123911,selected_100_seq
-11.080773,5.1562862,selected_100_seq
-11.970092,2.9972315,selected_100_seq
-12.149761,3.2813087,selected_100_seq
-12.110767,4.6657286,selected_100_seq
-6.064383,11.488542,selected_100_seq
-4.3514895,11.98257,selected_100_seq
-11.90593,6.642891,selected_100_seq
-15.457913,-0.17134017,selected_100_seq
-15.49895,-0.16790609,selected_100_seq
-5.387912,10.403829,selected_100_seq
-8.505848,10.752608,selected_100_seq
-16.973438,5.626429,selected_100_seq
-6.8736715,9.724161,selected_100_seq
-11.108536,2.338877,selected_100_seq
-8.147862,12.2339525,selected_100_seq
-8.230512,12.715007,selected_100_seq
-8.041594,13.477066,selected_100_seq
15.533873,8.423277,selected_100_seq
15.143206,9.212889,selected_100_seq
14.885031,9.637245,selected_100_seq
13.54954,9.941384,selected_100_seq
13.893038,9.999758,selected_100_seq
13.910775,10.2978,selected_100_seq
15.127852,9.772435,selected_100_seq
12.210925,10.150775,selected_100_seq
14.150144,9.784268,selected_100_seq
11.286,10.11787,selected_100_seq
-9.017353,14.071236,selected_100_seq
-8.6282215,14.611534,selected_100_seq
-17.689077,7.3151565,selected_100_seq
-15.093185,11.055195,selected_100_seq
-11.943648,14.223587,selected_100_seq
-11.425824,12.881835,selected_100_seq
-19.734716,5.114732,selected_100_seq
-7.8913617,-0.91784054,selected_100_seq
-10.019518,12.921641,selected_100_seq
-14.335236,3.3901436,selected_100_seq
-5.196662,13.573522,selected_100_seq
-5.345152,12.580605,selected_100_seq
-15.286313,3.602385,selected_100_seq
-8.891616,11.752656,selected_100_seq
-12.455173,14.966354,selected_100_seq
-6.8407907,10.703599,selected_100_seq
-3.7402506,8.729687,selected_100_seq
-13.115098,13.067658,selected_100_seq
-5.5196614,11.377118,selected_100_seq
-10.721395,8.358688,selected_100_seq
-17.841475,5.741388,selected_100_seq
-18.107422,5.5107174,selected_100_seq
-16.94493,4.788265,selected_100_seq
-10.13102,1.1049199,selected_100_seq
-4.5158954,14.372926,selected_100_seq
-16.426983,6.927074,selected_100_seq
-8.100077,13.736493,selected_100_seq
-23.695465,19.649311,selected_100_seq
-15.352416,7.829405,selected_100_seq
-4.515607,13.053457,selected_100_seq
-14.40143,9.015396,selected_100_seq
-17.512926,-0.31472474,selected_100_seq
-16.826632,8.149568,selected_100_seq
-6.492997,14.100875,selected_100_seq
-7.317221,13.410387,selected_100_seq
-17.5638,6.853153,selected_100_seq
-4.6190753,13.973742,selected_100_seq
-15.5821495,7.67691,selected_100_seq
-13.476381,4.3150983,selected_100_seq
-7.183288,13.151879,selected_100_seq
-6.3890443,13.692551,selected_100_seq
-16.428152,8.866854,selected_100_seq
19.031292,-22.031534,selected_100_seq
-23.646622,3.3599586,selected_100_seq
-23.665447,3.3321028,selected_100_seq
-23.687372,3.3102586,selected_100_seq
-24.561985,1.9357481,selected_100_seq
