Dim1,Dim2,Label
0.5964632,5.2498236,selected_100_seq
0.50150293,5.3710804,selected_100_seq
0.5054291,5.428669,selected_100_seq
0.55011314,5.3381553,selected_100_seq
8.216068,4.484598,selected_100_seq
8.322547,4.4373956,selected_100_seq
0.487219,5.3865623,selected_100_seq
8.378919,4.624893,selected_100_seq
7.684891,5.7852445,selected_100_seq
8.451449,6.7636533,selected_100_seq
8.604842,6.865101,selected_100_seq
8.411322,4.4971504,selected_100_seq
6.0119157,4.9280515,selected_100_seq
8.467395,7.2201815,selected_100_seq
9.344326,7.936639,selected_100_seq
9.104525,4.988475,selected_100_seq
9.003046,6.1509557,selected_100_seq
9.014718,8.0747795,selected_100_seq
9.331297,7.5648904,selected_100_seq
9.427572,7.8484755,selected_100_seq
8.774482,5.2647796,selected_100_seq
8.569466,7.191749,selected_100_seq
8.929505,6.08003,selected_100_seq
9.331995,7.9611497,selected_100_seq
8.996676,7.074643,selected_100_seq
8.332271,5.6835265,selected_100_seq
8.598308,5.6495314,selected_100_seq
8.187456,6.4615555,selected_100_seq
8.45874,6.5366964,selected_100_seq
9.242003,8.042256,selected_100_seq
8.725535,6.313291,selected_100_seq
8.772319,5.4569235,selected_100_seq
8.481166,5.5781145,selected_100_seq
8.119007,6.294929,selected_100_seq
9.431133,7.601577,selected_100_seq
8.266114,5.977969,selected_100_seq
8.812845,5.611986,selected_100_seq
8.365605,6.6021,selected_100_seq
8.1981945,6.685088,selected_100_seq
8.312908,5.6384115,selected_100_seq
8.362312,6.8097377,selected_100_seq
9.1124525,6.595246,selected_100_seq
8.543997,5.2755175,selected_100_seq
9.256348,6.771947,selected_100_seq
8.484075,6.026481,selected_100_seq
8.912021,5.81143,selected_100_seq
8.866677,5.679673,selected_100_seq
8.671295,5.5992064,selected_100_seq
9.56875,7.248376,selected_100_seq
9.498681,7.986997,selected_100_seq
8.325955,5.891155,selected_100_seq
8.992804,4.90565,selected_100_seq
8.962519,4.7674737,selected_100_seq
9.317553,7.281258,selected_100_seq
9.254605,6.736927,selected_100_seq
8.893247,4.4392242,selected_100_seq
9.060593,6.8297257,selected_100_seq
8.538584,5.466876,selected_100_seq
9.656421,6.9957013,selected_100_seq
9.830999,7.05068,selected_100_seq
9.880421,6.7657313,selected_100_seq
9.901503,9.406491,selected_100_seq
9.865334,9.2447195,selected_100_seq
9.982271,9.284678,selected_100_seq
9.893067,9.467726,selected_100_seq
9.896335,9.361,selected_100_seq
9.845012,9.396502,selected_100_seq
9.966798,9.137991,selected_100_seq
9.635147,9.769805,selected_100_seq
10.006815,9.266102,selected_100_seq
9.665736,9.998021,selected_100_seq
9.955482,6.6244392,selected_100_seq
10.207951,7.0398417,selected_100_seq
9.322403,4.360182,selected_100_seq
9.2694025,5.2161508,selected_100_seq
9.856136,6.1472564,selected_100_seq
9.402075,6.373998,selected_100_seq
8.93916,3.9984126,selected_100_seq
9.536044,6.2788305,selected_100_seq
9.669099,6.941875,selected_100_seq
9.388033,5.3145037,selected_100_seq
9.718078,8.090281,selected_100_seq
9.257089,7.776109,selected_100_seq
9.467458,4.9401274,selected_100_seq
9.528377,6.747311,selected_100_seq
9.963346,5.967773,selected_100_seq
9.060913,7.3735766,selected_100_seq
9.496088,6.5152946,selected_100_seq
9.765899,6.3121123,selected_100_seq
9.597499,7.529328,selected_100_seq
8.55679,6.629252,selected_100_seq
8.999792,4.378392,selected_100_seq
8.833536,4.113555,selected_100_seq
9.309369,4.274245,selected_100_seq
9.30358,6.013259,selected_100_seq
9.86087,8.136947,selected_100_seq
9.519686,4.505001,selected_100_seq
10.160818,6.9855666,selected_100_seq
3.1007836,5.4001474,selected_100_seq
9.614614,5.2043595,selected_100_seq
9.529584,7.9918103,selected_100_seq
9.89169,5.657615,selected_100_seq
9.812991,5.518983,selected_100_seq
9.73268,4.935519,selected_100_seq
9.934651,7.578728,selected_100_seq
9.9959135,7.1288047,selected_100_seq
9.49661,4.4139733,selected_100_seq
9.966715,7.8675947,selected_100_seq
9.511049,4.8427396,selected_100_seq
8.422194,5.3024807,selected_100_seq
9.934183,7.1766553,selected_100_seq
10.107254,7.518667,selected_100_seq
9.770708,4.8629174,selected_100_seq
10.990333,15.214575,selected_100_seq
7.7650576,4.943311,selected_100_seq
7.728499,5.0236244,selected_100_seq
7.700514,4.933116,selected_100_seq
7.714974,5.047174,selected_100_seq
7.798579,5.045408,selected_100_seq
7.708878,5.2121506,selected_100_seq
7.6486206,5.1391315,selected_100_seq
9.260406,6.8184204,selected_100_seq
9.791512,7.8215613,selected_100_seq
9.40584,6.1536965,selected_100_seq
9.244118,5.993268,selected_100_seq
9.328184,5.8057995,selected_100_seq
9.575908,5.99044,selected_100_seq
9.892072,7.9604197,selected_100_seq
9.301709,4.5607047,selected_100_seq
9.1960535,7.130862,selected_100_seq
9.372229,5.6499486,selected_100_seq
8.079904,6.3917966,selected_100_seq
8.1349945,7.025637,selected_100_seq
9.204455,3.8648987,selected_100_seq
9.108906,3.8202252,selected_100_seq
9.35792,3.7901566,selected_100_seq
9.301866,3.9209678,selected_100_seq
2.5249035,5.069159,selected_100_seq
8.896788,8.330958,selected_100_seq
3.1236022,5.646902,selected_100_seq
9.2887335,4.2919703,selected_100_seq
5.122937,5.0272746,IPR032724
13.161735,12.692649,IPR032724
7.8856387,6.7007585,IPR032724
10.310062,13.479401,IPR032724
7.8400817,11.866589,IPR032724
7.5614953,11.881635,IPR032724
7.9753737,9.114216,IPR032724
5.1458077,4.3226624,IPR032724
11.180488,14.926848,IPR032724
8.100685,10.521386,IPR032724
7.633692,10.731746,IPR032724
7.4837728,10.38004,IPR032724
11.351996,14.687635,IPR032724
11.301147,14.007779,IPR032724
7.4260464,10.043422,IPR032724
8.089898,10.085377,IPR032724
7.5014195,10.495176,IPR032724
1.7460274,6.0019245,IPR032724
9.311358,3.5213733,IPR032724
13.027111,13.322277,IPR032724
11.810505,13.191668,IPR032724
10.6537285,13.601293,IPR032724
7.3437314,10.807831,IPR032724
11.527073,14.20939,IPR032724
11.886985,13.041535,IPR032724
12.074045,14.036103,IPR032724
7.871534,9.233165,IPR032724
8.688893,4.599714,IPR032724
8.727876,6.686803,IPR032724
9.282921,3.9388685,IPR032724
7.508519,7.4150906,IPR032724
7.570618,10.500041,IPR032724
1.7626854,4.3865566,IPR032724
11.314335,12.219776,IPR032724
9.707296,7.68735,IPR032724
11.439712,12.196049,IPR032724
