Dim1,Dim2,Label
10.93314,3.6155643,ProtGPT2
13.405577,3.6866357,ProtGPT2
6.410992,5.2667527,ProtGPT2
5.5343,5.923449,ProtGPT2
10.357096,7.2924123,ProtGPT2
9.343981,8.74785,ProtGPT2
6.366537,6.063392,ProtGPT2
12.031887,5.068274,ProtGPT2
12.35519,3.2778752,ProtGPT2
7.355706,6.744125,ProtGPT2
6.982831,6.4199,ProtGPT2
8.55054,3.3023567,ProtGPT2
8.883352,5.297175,ProtGPT2
8.034031,1.7531185,ProtGPT2
5.973995,6.369301,ProtGPT2
7.795703,7.257786,ProtGPT2
14.936032,1.2141433,ProtGPT2
9.63565,8.555403,ProtGPT2
8.443012,3.561212,ProtGPT2
9.938338,6.171186,ProtGPT2
9.1824045,9.108301,ProtGPT2
10.138461,8.071307,ProtGPT2
8.581487,8.419088,ProtGPT2
6.409,6.0683627,ProtGPT2
8.00926,2.490529,ProtGPT2
12.994219,-1.2079321,ProtGPT2
8.091956,2.4694936,ProtGPT2
6.416945,7.848969,ProtGPT2
11.728921,3.1620355,ProtGPT2
14.212576,4.146386,ProtGPT2
6.7474737,7.9266977,ProtGPT2
11.662352,4.992051,ProtGPT2
9.284916,5.644107,ProtGPT2
5.326141,7.6934505,ProtGPT2
10.547978,7.579185,ProtGPT2
9.089051,5.568058,ProtGPT2
10.243497,2.047567,ProtGPT2
8.122566,2.0743601,ProtGPT2
9.769813,8.336033,ProtGPT2
14.296001,4.34194,ProtGPT2
8.278354,7.2962866,ProtGPT2
14.579187,2.1739016,ProtGPT2
6.3338614,8.233436,ProtGPT2
6.726384,4.5639753,ProtGPT2
10.618327,2.012251,ProtGPT2
11.06686,5.273766,ProtGPT2
9.939122,2.2192802,ProtGPT2
8.261431,7.139398,ProtGPT2
9.171473,8.903408,ProtGPT2
7.6322165,5.645213,ProtGPT2
13.953709,0.6990448,ProtGPT2
9.407386,5.16279,ProtGPT2
11.809518,6.309241,ProtGPT2
7.6786838,5.357532,ProtGPT2
7.821884,4.808501,ProtGPT2
5.8210487,5.9566092,ProtGPT2
6.9379478,4.7288237,ProtGPT2
10.46425,5.7640586,ProtGPT2
9.174481,8.756522,ProtGPT2
6.7789693,6.7462277,ProtGPT2
14.374567,1.1656723,ProtGPT2
9.804633,6.0089245,ProtGPT2
7.8960214,6.2435355,ProtGPT2
7.7288985,5.6071486,ProtGPT2
14.802563,1.1036047,ProtGPT2
9.474402,8.103323,ProtGPT2
7.0524025,4.7104874,ProtGPT2
6.285083,8.18023,ProtGPT2
15.228346,1.6079607,ProtGPT2
9.473507,0.6829935,ProtGPT2
15.13432,1.6937113,ProtGPT2
14.882001,1.6865261,ProtGPT2
