Dim1,Dim2,Label
11.64641,10.214585,ProtGPT2
10.026213,12.156269,ProtGPT2
12.096842,10.191631,ProtGPT2
11.981039,9.490947,ProtGPT2
10.644765,11.073569,ProtGPT2
10.904259,11.673212,ProtGPT2
10.835269,9.774653,ProtGPT2
9.570655,11.593412,ProtGPT2
10.061466,11.971164,ProtGPT2
10.960457,10.160538,ProtGPT2
11.070483,9.354818,ProtGPT2
10.693795,10.711255,ProtGPT2
7.9777074,11.180115,ProtGPT2
8.515064,10.8601465,ProtGPT2
11.878776,9.664736,ProtGPT2
11.377544,9.780798,ProtGPT2
8.715698,13.953486,ProtGPT2
10.348949,12.013267,ProtGPT2
8.629062,10.807686,ProtGPT2
8.710257,11.6666155,ProtGPT2
11.080067,12.307937,ProtGPT2
9.184309,11.561682,ProtGPT2
13.536852,8.100956,ProtGPT2
11.274095,9.491041,ProtGPT2
9.349963,10.793381,ProtGPT2
9.731909,11.4276705,ProtGPT2
9.37907,10.976433,ProtGPT2
11.550671,10.036189,ProtGPT2
10.063007,11.780795,ProtGPT2
10.374148,12.023294,ProtGPT2
11.929714,10.054975,ProtGPT2
9.06819,11.10784,ProtGPT2
8.121538,11.423818,ProtGPT2
11.342435,9.693815,ProtGPT2
10.861894,10.501706,ProtGPT2
8.132137,11.128725,ProtGPT2
9.348374,11.643514,ProtGPT2
8.2605715,10.853588,ProtGPT2
8.993517,11.43533,ProtGPT2
9.652924,12.853672,ProtGPT2
10.524464,9.895978,ProtGPT2
9.901381,12.423377,ProtGPT2
11.32625,10.282807,ProtGPT2
12.94891,8.9188795,ProtGPT2
9.977546,11.921835,ProtGPT2
8.695406,11.013326,ProtGPT2
9.564409,12.044973,ProtGPT2
9.950371,9.725357,ProtGPT2
11.123318,12.01985,ProtGPT2
10.10109,9.801225,ProtGPT2
8.422373,13.399891,ProtGPT2
8.833154,11.577674,ProtGPT2
10.262867,11.282156,ProtGPT2
9.567908,10.574178,ProtGPT2
9.252712,10.551792,ProtGPT2
12.219782,9.5748415,ProtGPT2
11.588411,10.542308,ProtGPT2
8.218696,11.187504,ProtGPT2
10.608217,12.406529,ProtGPT2
11.475638,10.171701,ProtGPT2
8.683233,13.871657,ProtGPT2
9.240866,11.316508,ProtGPT2
9.997016,9.787843,ProtGPT2
9.914421,9.931137,ProtGPT2
8.582901,13.958624,ProtGPT2
10.273189,12.272944,ProtGPT2
11.761555,10.542613,ProtGPT2
14.866747,6.7155137,ProtGPT2
9.399728,13.623106,ProtGPT2
8.9637375,11.910518,ProtGPT2
8.763549,13.909496,ProtGPT2
9.625152,13.485533,ProtGPT2
10.608244,11.329889,ProtGPT2
8.572721,13.532339,ProtGPT2
10.765828,10.410791,ProtGPT2
12.629124,9.510461,ProtGPT2
10.026833,9.892354,ProtGPT2
10.594225,9.79946,ProtGPT2
11.902671,9.801564,ProtGPT2
8.85737,13.826902,ProtGPT2
9.233822,11.046406,ProtGPT2
10.568087,11.871053,ProtGPT2
9.487664,10.29617,ProtGPT2
11.906467,9.772533,ProtGPT2
9.603195,11.913555,ProtGPT2
9.558282,10.991944,ProtGPT2
8.214275,11.04085,ProtGPT2
11.515886,10.819028,ProtGPT2
7.558799,11.515449,ProtGPT2
8.817603,11.727351,ProtGPT2
9.557276,11.651206,ProtGPT2
8.482984,11.6444235,ProtGPT2
11.418305,10.819187,ProtGPT2
8.705424,11.313267,ProtGPT2
10.499905,9.889322,ProtGPT2
10.334045,11.931203,ProtGPT2
8.1867285,13.742066,ProtGPT2
7.328963,13.24895,ProtGPT2
9.080586,13.118691,ProtGPT2
10.146339,9.792378,ProtGPT2
10.988067,12.317066,ProtGPT2
8.868099,12.47422,ProtGPT2
13.017954,9.451499,ProtGPT2
10.087052,11.244014,ProtGPT2
11.189787,10.552247,ProtGPT2
10.56842,11.863561,ProtGPT2
