Dim1,Dim2,Label
-52.88454,-23.253569,IPR032724r
-27.20036,26.384274,IPR032724r
-44.406223,-5.1841507,IPR032724r
-24.220123,17.93538,IPR032724r
-50.486603,31.143503,IPR032724r
-50.17248,30.40439,IPR032724r
-45.400562,11.938711,IPR032724r
-48.83121,-26.386904,IPR032724r
-49.85286,-26.66015,IPR032724r
-17.44231,25.977407,IPR032724r
-25.815071,27.44227,IPR032724r
-46.15283,15.994542,IPR032724r
-46.944675,17.742577,IPR032724r
-48.605873,18.120195,IPR032724r
-18.540854,25.48868,IPR032724r
-22.30067,22.472261,IPR032724r
-50.70178,17.574728,IPR032724r
-52.258747,22.702873,IPR032724r
-48.016422,18.099148,IPR032724r
-62.360126,-21.51822,IPR032724r
-42.114464,-10.777231,IPR032724r
-25.4618,28.312895,IPR032724r
-29.256586,21.345701,IPR032724r
-22.483889,18.15852,IPR032724r
-47.850887,20.719612,IPR032724r
-20.278515,26.929634,IPR032724r
-29.261602,21.335876,IPR032724r
-22.768826,23.41868,IPR032724r
-49.358906,14.833871,IPR032724r
-45.521168,-6.3079777,IPR032724r
-36.535347,-9.600224,IPR032724r
-36.765995,-11.557194,IPR032724r
-42.424137,-9.624868,IPR032724r
-46.79824,1.6782565,IPR032724r
-47.750984,18.966133,IPR032724r
-60.907955,-25.916698,IPR032724r
-26.410208,18.510841,IPR032724r
-55.581512,0.6694512,IPR032724r
-26.335026,18.685259,IPR032724r
-26.409822,18.652996,IPR032724r
-11.800521,22.200243,IPR032724r
-24.806488,20.780487,IPR032724r
-58.286938,-22.77691,IPR032724r
-46.585823,0.97374505,IPR032724r
-46.4027,7.9048066,IPR032724r
-53.43604,-6.685679,IPR032724r
-26.11793,25.580723,IPR032724r
-29.154179,14.209788,IPR032724r
-23.580532,23.72666,IPR032724r
-16.664398,21.54649,IPR032724r
-28.67789,13.694233,IPR032724r
-24.083643,2.9487412,IPR032724r
-56.51868,18.576952,IPR032724r
-20.274035,21.88349,IPR032724r
-58.818256,-21.681393,IPR032724r
-24.478863,18.071314,IPR032724r
-16.81651,26.715567,IPR032724r
